===== System Information =====
Time: 2025-10-23T19:35:07.914
App: ColorProDisplayManager
App Version: 1.1.0.1023
Qt Version: 6.5.2
OS: Windows 11 Version 24H2
CPU Arch: x86_64
Screen[0] Name: \\.\DISPLAY1
Screen[0] Size: 1536 x 864 px
Screen[0] DPI: 96
Screen[0] Physical Size: 344mm x 194mm
Screen[1] Name: VP2458
Screen[1] Size: 1920 x 1080 px
Screen[1] DPI: 96
Screen[1] Physical Size: 527mm x 296mm
Screen[2] Name: VP3256-4K
Screen[2] Size: 2560 x 1440 px
Screen[2] DPI: 96
Screen[2] Physical Size: 697mm x 392mm
==============================
[19:35:07.915]  [T:0x9553f] I: [ CAppRunningNotifier::initialize ] CAppRunningNotifier server is running
[19:35:07.916]  [T:0x9553f] D: [LanguageManager] initSystemLanguage: loaded "en_US"
[19:35:08.452]  [T:0x9553f] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Regular.ttf" -> families: "Inter"
[19:35:08.453]  [T:0x9553f] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Medium.ttf" -> families: "Inter Medium"
[19:35:08.455]  [T:0x9553f] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-SemiBold.ttf" -> families: "Inter SemiBold"
[19:35:08.455]  [T:0x9553f] D: CICCSyncModule constructed, binding to GlobalEvent
[19:35:08.468]  [T:0x9553f] D: CColorBlindnessModule constructed, binding to GlobalEvent
[19:35:08.487]  [T:0x9553f] I: [ CConfigModule::importConfig ] "userConfigPath:C:/Users/judi-/AppData/Local/ColorProDisplayManager"
[19:35:08.732]  [T:0x9553f] D: [ICCSync] DC reset → block initialize
[19:35:08.732]  [T:0x9553f] D: [CColorBlindnessModule] DC reset → block initialize
[19:35:08.780]  [T:0x9553f] D: [ICCSync] DC ready received
[19:35:08.780]  [T:0x9553f] D: [CColorBlindnessModule] DC ready received
[19:35:08.780]  [T:0x9553f] D: modelName =  "VP2458"
[19:35:09.114]  [T:0x9553f] I: [ CMonitorInfoAdaptor::catchMonitors ] Monitor index:  1 / SN: "VKR183100011" / Model Name: "VP2458"
[19:35:09.114]  [T:0x9553f] I: [ CMonitorInfoAdaptor::catchMonitors ] Monitor position: 1920 / Monitor position y: 0
[19:35:09.114]  [T:0x9553f] I: [ CMonitorInfoAdaptor::catchMonitors ] Resolution is: 1920  *  1080
[19:35:09.114]  [T:0x9553f] I: [ CMonitorInfoAdaptor::catchMonitors ] Firmware version is: "M006"
[19:35:09.115]  [T:0x9553f] D: modelName =  "VP3256-4K"
[19:35:09.481]  [T:0x9553f] I: [ CMonitorInfoAdaptor::catchMonitors ] Monitor index:  2 / SN: "WPK214700016" / Model Name: "VP3256-4K"
[19:35:09.482]  [T:0x9553f] I: [ CMonitorInfoAdaptor::catchMonitors ] Monitor position: 3840 / Monitor position y: 0
[19:35:09.482]  [T:0x9553f] I: [ CMonitorInfoAdaptor::catchMonitors ] Resolution is: 3840  *  2160
[19:35:09.482]  [T:0x9553f] I: [ CMonitorInfoAdaptor::catchMonitors ] Firmware version is: "V023"
[19:35:10.403]  [T:0x9553f] I: [ CVCPAdaptor::setVCPValue ] "Set VCP Name: Video Signal Auto Detect => 0x33, VCP value: On"
[19:35:10.561]  [T:0x9553f] I: [ CVCPAdaptor::setVCPValue ] "Set VCP Name: Video Signal Auto Detect => 0x33, VCP value: On"
[19:35:10.561]  [T:0x9553f] I: [ CDisplayManagerAgent::syncMonitorsAction ] Sync monitor:  "VP2458"
[19:35:10.684]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Sharpness" VCP value is  2
[19:35:10.870]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Defaults" VCP value is  0
[19:35:11.056]  [T:0x9553f] W: [ CVCPAdaptor::getVCPValue ] Failed to get option value, ModelName is  "VP2458" VCP is: "Audio Mute / Screen Blank" VCP value is 0
[19:35:11.228]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Blue Light Filter" VCP value is  0
[19:35:11.415]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Video Signal Auto Detect" VCP value is  2 VCP option name: "On"
[19:35:11.616]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Signal Source List" VCP value is  16385
[19:35:11.805]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Color Defaults" VCP value is  0
[19:35:12.004]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:12.144]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:12.284]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:12.407]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:12.530]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:12.654]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:12.797]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:12.936]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:13.062]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:13.201]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:13.323]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:13.452]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:13.577]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:13.703]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:13.831]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:13.971]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:14.094]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:14.231]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:14.355]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:14.497]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:14.618]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:14.746]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:14.870]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:14.994]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:15.118]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:15.244]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:15.368]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:15.491]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:15.632]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:15.757]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:15.883]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:16.022]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:16.146]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:16.271]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:16.397]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:16.524]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:16.661]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:16.785]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:16.924]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Contrast" VCP value is  0
[19:35:16.925]  [T:0x9553f] W: [ CDisplayManagerAgent::syncOneMonitorsVCPPolling ] Get VCP  "Contrast"  wrong. VCP value is "0"
[19:35:17.109]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Display Application" VCP value is  0 VCP option name: "Off"
[19:35:17.295]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Screen Orientation" VCP value is  1
[19:35:17.484]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Input Selection" VCP value is  15 VCP option name: "DisplayPort 1 (DisplayPort)"
[19:35:17.685]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Luminance" VCP value is  0
[19:35:17.871]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:18.011]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:18.150]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:18.277]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:18.415]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:18.555]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:18.694]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:18.820]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:18.958]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:19.081]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:19.207]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:19.347]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:19.470]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:19.610]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:19.749]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:19.889]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:20.011]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:20.138]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:20.278]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:20.417]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:20.539]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:20.667]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:20.792]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:20.913]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:21.039]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:21.163]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:21.302]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:21.443]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:21.582]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:21.707]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:21.847]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:21.972]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:22.098]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:22.221]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[19:35:22.345]  [T:0x9553f] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
