===== System Information =====
Time: 2025-10-28T16:05:42.280
App: ColorProDisplayManager
App Version: 1.1.0.1028
Qt Version: 6.5.2
OS: Windows 11 Version 24H2
CPU Arch: x86_64
Screen[0] Name: \\.\DISPLAY1
Screen[0] Size: 1920 x 1080 px
Screen[0] DPI: 96
Screen[0] Physical Size: 344mm x 194mm
Screen[1] Name: VP2458
Screen[1] Size: 1920 x 1080 px
Screen[1] DPI: 96
Screen[1] Physical Size: 527mm x 296mm
Screen[2] Name: VP3256-4K
Screen[2] Size: 2560 x 1440 px
Screen[2] DPI: 96
Screen[2] Physical Size: 697mm x 392mm
==============================
[16:05:42.281]  [T:0x60947] I: [ CAppRunningNotifier::initialize ] CAppRunningNotifier server is running
[16:05:42.282]  [T:0x60947] D: [LanguageManager] initSystemLanguage: loaded "en_US"
[16:05:42.297]  [T:0x60947] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Regular.ttf" -> families: "Inter"
[16:05:42.299]  [T:0x60947] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-Medium.ttf" -> families: "Inter Medium"
[16:05:42.302]  [T:0x60947] I: [ CDMControllerFactory::loadGoogleInterFonts ] [Font] Loaded: ":/Resources/fonts/Inter-SemiBold.ttf" -> families: "Inter SemiBold"
[16:05:42.302]  [T:0x60947] D: CICCSyncModule constructed, binding to GlobalEvent
[16:05:42.319]  [T:0x60947] D: CColorBlindnessModule constructed, binding to GlobalEvent
[16:05:42.338]  [T:0x60947] I: [ CConfigModule::importConfig ] "userConfigPath:C:/Users/judi-/AppData/Local/ColorProDisplayManager"
[16:05:42.495]  [T:0x60947] D: [ICCSync] DC reset → block initialize
[16:05:42.495]  [T:0x60947] D: [CColorBlindnessModule] DC reset → block initialize
[16:05:42.546]  [T:0x60947] D: [ICCSync] DC ready received
[16:05:42.546]  [T:0x60947] D: [CColorBlindnessModule] DC ready received
[16:05:42.546]  [T:0x60947] D: modelName =  "VP2458"
[16:05:42.891]  [T:0x60947] I: [ CMonitorInfoAdaptor::catchMonitors ] Monitor index:  1 / SN: "VKR183100011" / Model Name: "VP2458"
[16:05:42.892]  [T:0x60947] I: [ CMonitorInfoAdaptor::catchMonitors ] Monitor position: 1920 / Monitor position y: 0
[16:05:42.892]  [T:0x60947] I: [ CMonitorInfoAdaptor::catchMonitors ] Resolution is: 1920  *  1080
[16:05:42.892]  [T:0x60947] I: [ CMonitorInfoAdaptor::catchMonitors ] Firmware version is: "M006"
[16:05:42.892]  [T:0x60947] D: modelName =  "VP3256-4K"
[16:05:43.253]  [T:0x60947] I: [ CMonitorInfoAdaptor::catchMonitors ] Monitor index:  2 / SN: "WPK214700016" / Model Name: "VP3256-4K"
[16:05:43.253]  [T:0x60947] I: [ CMonitorInfoAdaptor::catchMonitors ] Monitor position: 3840 / Monitor position y: 0
[16:05:43.253]  [T:0x60947] I: [ CMonitorInfoAdaptor::catchMonitors ] Resolution is: 3840  *  2160
[16:05:43.254]  [T:0x60947] I: [ CMonitorInfoAdaptor::catchMonitors ] Firmware version is: "V023"
[16:05:44.188]  [T:0x60947] I: [ CVCPAdaptor::setVCPValue ] "Set VCP Name: Video Signal Auto Detect => 0x33, VCP value: On"
[16:05:44.342]  [T:0x60947] I: [ CVCPAdaptor::setVCPValue ] "Set VCP Name: Video Signal Auto Detect => 0x33, VCP value: On"
[16:05:44.343]  [T:0x60947] I: [ CDisplayManagerAgent::syncMonitorsAction ] Sync monitor:  "VP2458"
[16:05:44.465]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Video Signal Auto Detect" VCP value is  2 VCP option name: "On"
[16:05:44.638]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Sharpness" VCP value is  2
[16:05:44.825]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Color Defaults" VCP value is  0
[16:05:45.010]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Input Selection" VCP value is  15 VCP option name: "DisplayPort 1 (DisplayPort)"
[16:05:45.184]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Blue Light Filter" VCP value is  0
[16:05:45.353]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Display Application" VCP value is  0 VCP option name: "Off"
[16:05:45.524]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Restore Factory Luminance" VCP value is  0
[16:05:45.698]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Screen Orientation" VCP value is  1
[16:05:45.900]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Color Temperature" VCP value is  5 VCP option name: "Native"
[16:05:46.104]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:46.241]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:46.367]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:46.508]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:46.648]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:46.789]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:46.914]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.039]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.180]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.304]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.441]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.583]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.713]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.837]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:47.961]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.100]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.240]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.381]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.505]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.645]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.768]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:48.895]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.021]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.144]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.282]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.423]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.564]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.702]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.843]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:49.969]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.112]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.251]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.387]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.517]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.642]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.782]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:50.919]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:51.058]  [T:0x60947] I: [ CVCPAdaptor::getVCPValue ] VCP Description is  "Brightness" VCP value is  0
[16:05:51.058]  [T:0x60947] W: [ CDisplayManagerAgent::syncOneMonitorsVCPPolling ] Get VCP  "Brightness"  wrong. VCP value is "0"
